id_x,sales_rep_name,date,quantity_products_sold,product_id,has_2x_multiplier,id_y,name,product_amount,commission_rate
10001,David,2023-04-15,3,20007,0,20007,Product_7,13000,0.11
10002,Ian,2023-01-15,3,20001,0,20001,Product_1,1000,0.05
10006,Ian,2023-05-15,2,20001,1,20001,Product_1,1000,0.05
10007,Brad,2023-01-15,3,20001,0,20001,Product_1,1000,0.05
10045,David,2023-06-15,11,20001,1,20001,Product_1,1000,0.05
10003,Ian,2023-01-15,5,20002,0,20002,Product_2,1000,0.06
10018,Brad,2023-04-15,3,20002,1,20002,Product_2,1000,0.06
10025,Brad,2023-06-15,5,20002,1,20002,Product_2,1000,0.06
10040,Jo,2023-04-15,3,20002,1,20002,Product_2,1000,0.06
10047,Carol,2023-01-15,1,20002,1,20002,Product_2,1000,0.06
10004,David,2023-01-15,3,20003,0,20003,Product_3,2000,0.07
10008,Brad,2023-03-15,3,20003,1,20003,Product_3,2000,0.07
10015,Ian,2023-01-15,11,20003,1,20003,Product_3,2000,0.07
10016,Jo,2023-03-15,1,20003,1,20003,Product_3,2000,0.07
10030,David,2023-03-15,2,20003,1,20003,Product_3,2000,0.07
10044,Jo,2023-04-15,5,20003,0,20003,Product_3,2000,0.07
10048,Carol,2023-06-15,7,20003,0,20003,Product_3,2000,0.07
10005,Jo,2023-03-15,3,20004,1,20004,Product_4,3000,0.08
10020,Brad,2023-03-15,7,20004,1,20004,Product_4,3000,0.08
10021,Ian,2023-03-15,5,20004,0,20004,Product_4,3000,0.08
10023,David,2023-01-15,2,20004,1,20004,Product_4,3000,0.08
10037,Carol,2023-01-15,2,20004,0,20004,Product_4,3000,0.08
10009,Brad,2023-04-15,2,20009,0,20009,Product_9,34000,0.13
10029,Ian,2023-04-15,2,20009,0,20009,Product_9,34000,0.13
10036,Brad,2023-01-15,11,20009,1,20009,Product_9,34000,0.13
10038,Jo,2023-04-15,2,20009,0,20009,Product_9,34000,0.13
10039,Ian,2023-03-15,1,20009,1,20009,Product_9,34000,0.13
10046,Ian,2023-03-15,3,20009,1,20009,Product_9,34000,0.13
10050,Jo,2023-01-15,5,20009,1,20009,Product_9,34000,0.13
10010,Brad,2023-01-15,2,20008,0,20008,Product_8,21000,0.12
10012,Poppy,2023-02-15,11,20008,1,20008,Product_8,21000,0.12
10019,Ian,2023-01-15,7,20008,0,20008,Product_8,21000,0.12
10043,Poppy,2023-04-15,7,20008,1,20008,Product_8,21000,0.12
10011,Jo,2023-02-15,7,20010,1,20010,Product_10,55000,0.14
10022,Poppy,2023-04-15,11,20010,0,20010,Product_10,55000,0.14
10024,Poppy,2023-01-15,7,20010,0,20010,Product_10,55000,0.14
10026,Poppy,2023-03-15,2,20010,0,20010,Product_10,55000,0.14
10028,Jo,2023-02-15,5,20010,1,20010,Product_10,55000,0.14
10035,Jo,2023-02-15,11,20010,0,20010,Product_10,55000,0.14
10041,David,2023-03-15,11,20010,1,20010,Product_10,55000,0.14
10049,David,2023-05-15,11,20010,0,20010,Product_10,55000,0.14
10013,Ian,2023-05-15,11,20006,1,20006,Product_6,8000,0.1
10017,Jo,2023-02-15,11,20006,1,20006,Product_6,8000,0.1
10027,Carol,2023-01-15,5,20006,0,20006,Product_6,8000,0.1
10031,Poppy,2023-06-15,2,20006,0,20006,Product_6,8000,0.1
10033,Jo,2023-01-15,1,20006,0,20006,Product_6,8000,0.1
10034,Ian,2023-04-15,7,20006,0,20006,Product_6,8000,0.1
10042,Ian,2023-01-15,3,20006,0,20006,Product_6,8000,0.1
10014,Brad,2023-01-15,1,20005,0,20005,Product_5,5000,0.09
10032,Poppy,2023-05-15,1,20005,1,20005,Product_5,5000,0.09
